SL. NO.,ASSETS TAG NO.,PART NO,No of Parts,Part Description,Part wt,runner wt,Ton,cycle time,Cummulative 2018,Jan-19,Cum Jan,Feb-19,Cum Feb,Mar-19,Cum Mar,Apr-19,Cum Apr,May-19,Cum May,Jun-19,Cum Jun,Jul-19,Cum Jul,Aug-19,Cum Aug,Sep-19,Cum Sep,Oct-19,Cum Oct,Nov-19,Cum Nov,Dec-19,Cum Dec,Cummulative 2019,Total Shots till Dec 2019
1,72000801-0001,41002718,1,Back Plate Splendor,32,2,80,60,"76,972",0,0,0,0,0,0,,0,0,0,,0,,0,,0,,0,,0,,0,,0,0,76972
,,41000819,2,Back Plate Nitro,30,1.9,80,60,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0
2,72001528-0001,41000776,3,Base G&S PPCP IFB White,61,3,100,60,238121,10913,10913,2435,13348,18400,31748,14204,45952,13200,59152,14670,73822,14146,87968,12026,99994,11740,111734,,111734,,111734,,111734,111734,349855
3,72001031-0001,41001949,4,HOUSING ABS SE BLACK,58,2,120,64,20326,0,0,0,0,,0,,0,0,0,,0,,0,,0,,0,,0,,0,,0,0,20326
4,72001454-0001,41001016,5,Body (G) - Trio (Green),386,4,250,102,356754,16862,16862,11055,27917,16180,44097,9350,53447,9800,63247,5917,69164,11241,80405,11694,92099,13129,105228,,105228,,105228,,105228,105228,461982
,,41001857,6,Body G - Trio (S.Tap),,,,,,,0,,,,,,,,,,,,,,,,0,,0,,0,,0,0,0
,,41002391,7,Body - Star,,,,,,,0,,,,,,,,,,,,,,,,0,,0,,0,,0,0,0
5,72001525-0001,41000030,8,Bottle Big,106,4,150,75,85825,11651,11651,6273,17924,11050,28974,10800,39774,11500,51274,10030,61304,8250,69554,6190,75744,10770,86514,,86514,,86514,,86514,86514,172339
6,72000302-0001,41000724,9,Lid Botle CG (Blue),27,1,80,40,223215,1554,1554,3673,5227,5950,11177,4200,15377,4800,20177,,20177,4910,25087,,25087,,25087,,25087,,25087,,25087,25087,248302
7,72000471-0001,41000724,10,,,,,,,0,0,0,0,0,0,,0,0,0,,0,,0,,0,,0,,0,,0,,0,0,0
8,72001524-0001,41000031,11,Bottle Small,72,4,120,60,23170,2409,2409,0,2409,1600,4009,1000,5009,0,5009,940,5949,1250,7199,1700,8899,1960,10859,,10859,,10859,,10859,10859,34029
9,72001273-0002,41002544,12,Bottom plate popular,113,1,150,55,226621,12788,12788,15974,28762,29000,57762,27300,85062,27000,112062,28190,140252,21180,161432,20170,181602,20980,202582,,202582,,202582,,202582,202582,429203
